transit_timestamp,station_complex_id,station_complex,borough,Georeference,ridership,transfers,weekday
2023-02-23,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),15034,258,Thursday
2023-02-23,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3391,63,Thursday
2023-02-23,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),16879,761,Thursday
2023-02-23,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),8856,44,Thursday
2023-02-24,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),13339,245,Friday
2023-02-24,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),2969,47,Friday
2023-02-24,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),15995,667,Friday
2023-02-24,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),8259,48,Friday
2023-02-25,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),9071,143,Saturday
2023-02-25,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1627,14,Saturday
2023-02-25,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),10491,389,Saturday
2023-02-25,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),5280,23,Saturday
2023-02-26,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),7601,101,Sunday
2023-02-26,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),1378,10,Sunday
2023-02-26,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),9391,366,Sunday
2023-02-26,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),4355,28,Sunday
2023-02-27,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),14832,219,Monday
2023-02-27,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3648,67,Monday
2023-02-27,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),17158,806,Monday
2023-02-27,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),9108,59,Monday
2023-02-28,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),15166,215,Tuesday
2023-02-28,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),3638,48,Tuesday
2023-02-28,153,"125 St (A,C,B,D)",Manhattan,POINT (-73.95234680175781 40.81110763549805),16937,752,Tuesday
2023-02-28,305,137 St-City College (1),Manhattan,POINT (-73.95367431640625 40.82200622558594),9101,53,Tuesday
2023-03-01,151,"145 St (A,C,B,D)",Manhattan,POINT (-73.9442138671875 40.82478332519531),16683,276,Wednesday
2023-03-01,152,"135 St (C,B)",Manhattan,POINT (-73.94764709472656 40.817893981933594),4015,69,Wednesday
