station_complex_id,station_complex,borough,Year,ridership,net_exits
R550,34 St-Hudson Yards (7),M,2018,3206142,3541693
R550,34 St-Hudson Yards (7),M,2019,6082164,6266618
R550,34 St-Hudson Yards (7),M,2020,2007520,2264950
R550,34 St-Hudson Yards (7),M,2021,2147246,3163820
R550,34 St-Hudson Yards (7),M,2022,2592463,4813022
R600,"Clark St (2,3)",BK,2018,1559278,785639
R600,"Clark St (2,3)",BK,2019,1794702,1018572
R600,"Clark St (2,3)",BK,2020,579036,409226
R600,"Clark St (2,3)",BK,2021,528885,511228
R600,"Clark St (2,3)",BK,2022,482177,692816
R602,"Court St (R)/Borough Hall (2,3,4,5)",BK,2018,10530288,6904787
R602,"Court St (R)/Borough Hall (2,3,4,5)",BK,2019,10158721,6871815
R602,"Court St (R)/Borough Hall (2,3,4,5)",BK,2020,3323041,2667512
R602,"Court St (R)/Borough Hall (2,3,4,5)",BK,2021,3156262,3145877
R602,"Court St (R)/Borough Hall (2,3,4,5)",BK,2022,3656596,4231725
R606,"Hoyt St (2,3)",BK,2018,2019295,1753566
R606,"Hoyt St (2,3)",BK,2019,2333120,1989964
R606,"Hoyt St (2,3)",BK,2020,896759,914513
R606,"Hoyt St (2,3)",BK,2021,910807,1159621
R606,"Hoyt St (2,3)",BK,2022,957170,1480435
R608,"Nevins St (2,3,4,5)",BK,2018,3267510,3141863
R608,"Nevins St (2,3,4,5)",BK,2019,3164371,3149875
R608,"Nevins St (2,3,4,5)",BK,2020,1198498,1391625
R608,"Nevins St (2,3,4,5)",BK,2021,1126885,1572185
R608,"Nevins St (2,3,4,5)",BK,2022,1216199,2090871
R610,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",BK,2018,13961687,12724890
R610,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",BK,2019,13972231,12941582
R610,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",BK,2020,5358826,5813963
R610,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",BK,2021,5417696,7216725
R610,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",BK,2022,5946903,9519205
R617,"Bergen St (2,3)",BK,2018,1149170,935807
R617,"Bergen St (2,3)",BK,2019,1215384,972854
R617,"Bergen St (2,3)",BK,2020,431420,420705
R617,"Bergen St (2,3)",BK,2021,414364,558772
R617,"Bergen St (2,3)",BK,2022,455228,758217
R619,"Grand Army Plaza (2,3)",BK,2018,2226859,856511
R619,"Grand Army Plaza (2,3)",BK,2019,2290790,898484
R619,"Grand Army Plaza (2,3)",BK,2020,799470,370001
